Title,Box Office Worldwide,Studio Name
Avatar,"$2,923,706,026",Twentieth Century FoxDune EntertainmentLightstorm Entertainment
There's Something About Mary,"$369,884,651",N/A
Lincoln,"$275,293,450",N/A
The Wolverine,"$414,828,246",N/A
Gulliver's Travels,"$237,382,724",N/A
Rise of the Planet of the Apes,"$481,800,873",N/A
Independence Day,"$817,400,891",N/A
Cast Away,"$429,632,142",N/A
Die Hard 4.0,"$388,156,011",N/A
Romeo + Juliet,"$147,554,998",N/A
Predators,"$127,233,108",Twentieth Century FoxTroublemaker StudiosDavis Entertainment
The Dark Knight,"$1,008,524,647",N/A
Inception,"$839,030,630",Warner Bros.Legendary EntertainmentSyncopy
The Matrix,"$467,840,449",N/A
GoodFellas,"$47,049,999",N/A
The Green Mile,"$286,801,374",N/A
Interstellar,"$705,191,242",Paramount PicturesWarner Bros.Legendary Entertainment
The Departed,"$291,481,358",N/A
The Prestige,"$109,676,311",N/A
Casablanca,"$4,663,981",Warner Bros.
Joker,"$1,078,958,629",Warner Bros.Village Roadshow PicturesBRON Studios
The Shining,"$47,528,814",N/A
The Dark Knight Rises,"$1,085,289,416",N/A
Once Upon a Time in America,"$5,475,086",N/A
Full Metal Jacket,"$50,193,264",N/A
A Clockwork Orange,"$27,033,812",N/A
Heat,"$187,436,818",N/A
L.A. Confidential,"$126,216,940",N/A
Batman Begins,"$375,325,692",N/A
Unforgiven,"$159,167,799",Warner Bros.Malpaso Productions
The Treasure of the Sierra Madre,"$5,014,000",N/A
Dial M for Murder,"$43,308",N/A
V for Vendetta,"$134,686,457",N/A
Blade Runner,"$41,762,210",N/A
Gran Torino,"$269,958,228",N/A
Barry Lyndon,"$267,624",N/A
Mad Max: Fury Road,"$380,437,267",Warner Bros.Village Roadshow PicturesKennedy Miller Mitchell
Million Dollar Baby,"$216,763,646",Warner Bros.Lakeshore EntertainmentMalpaso Productions
Harry Potter and the Deathly Hallows: Part 2,"$1,342,480,797",N/A
Before Sunset,"$15,855,022",N/A
Antz,"$171,757,863",N/A
The Prince of Egypt,"$218,613,188",N/A
Chicken Run,"$224,888,359",N/A
The Road to El Dorado,"$76,432,727",N/A
Joseph: King of Dreams,N/A,N/A
Shrek,"$488,628,188",Dreamworks PicturesDreamWorks AnimationPacific Data Images (PDI)
Spirit: Stallion of the Cimarron,"$122,563,539",N/A
Sinbad: Legend of the Seven Seas,"$80,773,077",N/A
Shrek 2,"$932,396,221",N/A
Shark Tale,"$374,583,879",N/A
Madagascar,"$542,063,846",N/A
The Curse of the Were-Rabbit,"$192,652,752",N/A
Over the Hedge,"$339,795,890",N/A
Flushed Away,"$178,281,554",N/A
Shrek the Third,"$813,367,380",N/A
Bee Movie,"$293,514,336",N/A
Kung Fu Panda,"$632,091,832",N/A
Madagascar: Escape 2 Africa,"$603,900,354",DreamWorks AnimationPacific Data Images (PDI)
How to Train Your Dragon,"$494,879,860",N/A
Monsters vs. Aliens,"$381,509,870",N/A
Shrek Forever After,"$752,600,867",N/A
Megamind,"$321,885,765",N/A
Kung Fu Panda 2,"$665,692,281",N/A
Puss in Boots,"$554,987,477",N/A
Madagascar 3: Europe's Most Wanted,"$746,921,274",N/A
Rise of the Guardians,"$306,941,670",N/A
The Croods,"$587,266,745",N/A
Turbo,"$282,570,682",N/A
Mr. Peabody & Sherman,"$275,698,039",N/A
How to Train Your Dragon 2,"$621,537,519",N/A
Penguins of Madagascar,"$373,515,621",N/A
Home,"$386,041,607",N/A
Kung Fu Panda 3,"$521,170,825",N/A
Trolls,"$347,337,803",N/A
The Boss Baby,"$527,965,936",N/A
Captain Underpants: The First Epic Movie,"$125,427,681",N/A
How to Train Your Dragon: The Hidden World,"$524,581,026",N/A
Trolls World Tour,"$49,276,818",N/A
The Croods: A New Age,"$215,905,815",N/A
The Boss Baby 2: Family Business,"$146,745,280",N/A
