Title,Image_URL,Year,Time,Audience_Type,Rating,Vote_Count,Metacritic_Score,Content,Director,Stars,Movie_Link,Box_Office_Worldwide,studio,Cast
Avengers: Age of Ultron,"https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UX140_CR0,0,140,207_.jpg",2015,2h 21m,12A,7.3,(933K),66,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",James Gunn,Mickey Rourke,https://www.imdb.com/title/tt2395427/?ref_=ls_t_11,"$1,405,018,048",marvel,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Linda Cardellini, Stellan Skarsgård"
Ant-Man,"https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2015,1h 57m,12A,7.2,(730K),64,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Joss Whedon,Gwyneth Paltrow,https://www.imdb.com/title/tt0478970/?ref_=ls_t_12,"$519,311,965",marvel,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly, Bobby Cannavale, Anthony Mackie, Judy Greer, Abby Ryder Fortson, Michael Peña, David Dastmalchian, Tip 'T.I.' Harris, Wood Harris, Hayley Atwell, John Slattery, Martin Donovan, Garrett Morris, Gregg Turkington, Rod Hallett"
Captain America: Civil War,"https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2016,2h 27m,12A,7.8,(861K),75,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Peyton Reed,Kenneth Branagh,https://www.imdb.com/title/tt3498820/?ref_=ls_t_13,"$1,155,046,416",marvel,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Tom Holland, Daniel Brühl, Frank Grillo, William Hurt, Martin Freeman, Marisa Tomei"
Doctor Strange,"https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2016,1h 55m,12A,7.5,(816K),72,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Anthony Russo,Chris Hemsworth,https://www.imdb.com/title/tt1211837/?ref_=ls_t_14,"$677,796,833",marvel,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Louise Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker"
Guardians of the Galaxy: Vol. 2,"https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_QL75_UX140_CR0,0,140,207_.jpg",2017,2h 16m,12A,7.6,(769K),67,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",Joe Russo,Anthony Hopkins,https://www.imdb.com/title/tt3896198/?ref_=ls_t_15,"$863,756,903",marvel,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Michael Rooker, Karen Gillan, Pom Klementieff, Sylvester Stallone, Kurt Russell, Elizabeth Debicki, Chris Sullivan, Sean Gunn, Tommy Flanagan, Laura Haddock, Aaron Schwartz, Hannah Harlow, Hilty Bowen"
Spider-Man: Homecoming,"https://m.media-amazon.com/images/M/MV5BODY2MTAzOTQ4M15BMl5BanBnXkFtZTgwNzg5MTE0MjI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2017,2h 13m,12A,7.4,(730K),73,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,Scott Derrickson,Natalie Portman,https://www.imdb.com/title/tt2250912/?ref_=ls_t_16,"$880,918,840",marvel,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Abraham Attah, Hannibal Buress, Kenneth Choi, Selenis Leyva, Angourie Rice"
Thor: Ragnarok,"https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2017,2h 10m,12A,7.9,(827K),74,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",James Gunn,Joe Johnston,https://www.imdb.com/title/tt3501632/?ref_=ls_t_17,"$855,301,806",marvel,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Rachel House, Clancy Brown, Tadanobu Asano, Ray Stevenson, Zachary Levi, Georgia Blizzard, Amali Golden"
Black Panther,"https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,2h 14m,12A,7.3,(847K),88,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Jon Watts,Chris Evans,https://www.imdb.com/title/tt1825683/?ref_=ls_t_18,"$1,374,959,729",marvel,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Nabiyah Be, Isaach De Bankolé, Connie Chiume"
Avengers: Infinity War,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,2h 29m,12A,8.4,(1.2M),68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Taika Waititi,Hugo Weaving,https://www.imdb.com/title/tt4154756/?ref_=ls_t_19,"$2,052,415,039",marvel,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoe Saldana, Karen Gillan, Tom Hiddleston, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Idris Elba, Danai Gurira"
Ant-Man and the Wasp,"https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,1h 58m,12A,7.0,(456K),70,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Ryan Coogler,Samuel L. Jackson,https://www.imdb.com/title/tt5095030/?ref_=ls_t_20,"$622,674,139",marvel,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale, Judy Greer, Tip 'T.I.' Harris, David Dastmalchian, Hannah John-Kamen, Abby Ryder Fortson, Randall Park, Michelle Pfeiffer, Laurence Fishburne, Michael Douglas, Divian Ladwa, Goran Kostic, Rob Archer, Sean Kleier"
Captain Marvel,"https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2019,2h 3m,PG-13,6.8,(618K),64,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Anthony Russo,Joss Whedon,https://www.imdb.com/title/tt4154664/?ref_=ls_t_21,"$1,131,416,446",marvel,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Clark Gregg, Rune Temte, Algenis Perez Soto, Mckenna Grace, Akira Akbar, Matthew Maher, Chuku Modu, Vik Sahay, Colin Ford"
Avengers: Endgame,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",2019,3h 1m,12A,8.4,(1.3M),78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Joe Russo,Robert Downey Jr.,https://www.imdb.com/title/tt4154796/?ref_=ls_t_22,"$2,799,439,100",marvel,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman, Brie Larson, Tom Holland, Karen Gillan, Zoe Saldana, Evangeline Lilly, Tessa Thompson, Rene Russo, Elizabeth Olsen"
Spider-Man: Far from Home,"https://m.media-amazon.com/images/M/MV5BODA5MTY0OWUtNjdlOC00NDI5LWE3NjYtNDM4MDI2MzE4OWUxXkEyXkFqcGdeQXVyOTAzODkzMjI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2019,2h 9m,12A,7.4,(568K),69,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",Peyton Reed,Chris Evans,https://www.imdb.com/title/tt6320628/?ref_=ls_t_23,"$1,132,679,685",marvel,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Martin Starr, J.B. Smoove, Jorge Lendeborg Jr., Cobie Smulders, Numan Acar, Zach Barack, Zoha Rahman, Yasmin Mwanza"
Guardians of the Galaxy Vol. 3,"https://m.media-amazon.com/images/M/MV5BMDgxOTdjMzYtZGQxMS00ZTAzLWI4Y2UtMTQzN2VlYjYyZWRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2023,2h 30m,12A,7.9,(394K),64,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",Anna Boden,Scarlett Johansson,https://www.imdb.com/title/tt6791350/?ref_=ls_t_24,"$845,555,777",marvel,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff, Dave Bautista, Karen Gillan, Vin Diesel, Austin Freeman, Stephen Blackehart, Terence Rosemore, Maria Bakalova, Sean Gunn, Sarah Alami, Jasmine Munoz, Giovannie Cruz, Will Poulter, Nico Santos, Miriam Shor"
Black Widow,"https://m.media-amazon.com/images/M/MV5BNjRmNDI5MjMtMmFhZi00YzcwLWI4ZGItMGI2MjI0N2Q3YmIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2021,2h 14m,12A,6.6,(433K),68,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Ryan Fleck,Shane Black,https://www.imdb.com/title/tt3480822/?ref_=ls_t_25,"$379,751,655",marvel,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz, Ray Winstone, Ever Anderson, Violet McGraw, O-T Fagbenle, William Hurt, Olga Kurylenko, Ryan Kiera Armstrong, Liani Samuel, Michelle Lee, Lewis Young, C.C. Smiff, Nanna Blondell, Simona Zivkovska, Erin Jameson"
Snow White and the Seven Dwarfs,"https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1937,1h 23m,A,7.6,(218K),96,"This is a list of films from Walt Disney Animation Studios and formerly known as Walt Disney Feature Animation, Walt Disney Productions and Disney Brothers Cartoon Studio, which creates animated feature films for The Walt Disney Company.",William Cottrell,William Cottrell,https://www.imdb.com/title/tt0029583/?ref_=ls_t_1,"$184,960,747",disney,"Adriana Caselotti, Harry Stockwell, Lucille La Verne, Roy Atwell, Stuart Buchanan, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, George Kiplunks, James MacDonald, George Magrill, Scotty Mattraw, Clarence Nash Jr., Jack Nill, Moroni Olsen, Purv Pullen"
Pinocchio,"https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_QL75_UX140_CR0,3,140,207_.jpg",1940,1h 28m,U,7.5,(162K),99,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",David Hand,David Hand,https://www.imdb.com/title/tt0032910/?ref_=ls_t_2,"$121,892,045",disney,"Dickie Jones, Christian Rub, Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Virginia Davis, Cliff Edwards, Charles Judels, George Magrill, Dal McKennon, John McLeish, Clarence Nash, Patricia Page, Purv Pullen, Evelyn Venable"
Fantasia,"https://m.media-amazon.com/images/M/MV5BYjhlYzNkOGEtZjNkZC00OTQ4LWJiMzEtMTM3YzBiM2FkMDUxXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_QL75_UX140_CR0,7,140,207_.jpg",1940,2h 4m,U,7.7,(105K),96,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",Wilfred Jackson,Wilfred Jackson,https://www.imdb.com/title/tt0032455/?ref_=ls_t_3,"$76,411,819",disney,"Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra, Corey Burton, Walt Disney, Hugh Douglas, James MacDonald, Tim Matheson, Julietta Novis, Paul J. Smith"
Dumbo,"https://m.media-amazon.com/images/M/MV5BMmU1NjQ3YjktZGMxYS00N2IwLTllZWQtOGNjYWE4MzgxNzk2XkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_QL75_UX140_CR0,2,140,207_.jpg",1941,1h 4m,U,7.2,(143K),96,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.",Norman Ferguson,Adriana Caselotti,https://www.imdb.com/title/tt0033563/?ref_=ls_t_4,"$3,890",disney,"Sterling Holloway, Edward Brophy, Herman Bing, Billy Bletcher, Hall Johnson Choir, Cliff Edwards, Verna Felton, Stan Freberg, Noreen Gammill, Eddie Holden, Malcolm Hutton, James MacDonald, Harold Manley, John McLeish, Jack Mercer, Tony Neil, Dorothy Scott, Sarah Selby"
Bambi,"https://m.media-amazon.com/images/M/MV5BNTVhMDc3MzYtNzI4Ni00YmNmLTkzM2YtMjBhMGFkODFjOTk4XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX140_CR0,1,140,207_.jpg",1942,1h 9m,U,7.3,(156K),91,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",T. Hee,Harry Stockwell,https://www.imdb.com/title/tt0034492/?ref_=ls_t_5,"$267,447,150",disney,"Hardie Albright, Stan Alexander, Bobette Audrey, Peter Behn, Thelma Boardman, Janet Chapman, Jeanne Christy, Dolyn Bramston Cook, Marion Darlington, Tim Davis, Donnie Dunagan, Sam Edwards, Ann Gillis, Otis Harlan, Eddie Holden, Sterling Holloway, Jack Horner, Cammie King Conlon"
Saludos Amigos,"https://m.media-amazon.com/images/M/MV5BYmYyNjdlZTItMzNkMy00ZTg1LWFhMmItYTkzMmJkMjIyZDM3XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1942,42m,Approved,6.0,(8.1K),60,The story of a young deer growing up in the forest.,Wilfred Jackson,Lucille La Verne,https://www.imdb.com/title/tt0036326/?ref_=ls_t_6,,disney,"Fred Shields, José Oliveira, Lee Blair, Mary Blair, Stuart Buchanan, Pinto Colvig, Walt Disney, Norman Ferguson, Frank Graham, Clarence Nash, Frank Thomas"
The Three Caballeros,"https://m.media-amazon.com/images/M/MV5BNTYzMmFmNjYtYzJmMy00ZGViLTlkNjItYjMwYzA3ZjRkZTBkXkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_QL75_UX140_CR0,4,140,207_.jpg",1944,1h 11m,U,6.3,(16K),85,Disney animators tour South America and present four animated shorts inspired by their trip.,James Algar,Norman Ferguson,https://www.imdb.com/title/tt0038166/?ref_=ls_t_7,,disney,"Aurora Miranda, Carmen Molina, Dora Luz, Sterling Holloway, Clarence Nash, Joaquin Garay, José Oliveira, Frank Graham, Fred Shields, Nestor Amaral, Almirante, Trío Calaveras, Trío Ascensio del Rio, Padua Hills Players, Robert Ashley, Wesley Carthew, Pinto Colvig, Billy Daniel"
Make Mine Music,"https://m.media-amazon.com/images/M/MV5BZGY0MGE1NDQtNTM5NS00YjkzLTgwMDQtMzQ2OGU2MzRkMzBjXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1946,1h 15m,U,6.1,(5K),60,"Donald receives his birthday gifts, which include traditional gifts and information about Brazil (hosted by Zé Carioca) and Mexico (by Panchito, a Mexican Charro Rooster).",Samuel Armstrong,T. Hee,https://www.imdb.com/title/tt0038718/?ref_=ls_t_8,,disney,"Nelson Eddy, Dinah Shore, Laverne Andrews, Maxene Andrews, Patty Andrews, Benny Goodman, Jerry Colonna, Andy Russell, Sterling Holloway, Tatiana Riabouchinska, David Lichine, The Pied Pipers, Ken Darby, Jon Dodson, Bud Linn, Rad Robinson, The Ken Darby Singers, John Brown"
