Title,Image URL,Year,Time,Audience Type,Rating,Vote Count,Metacritic Score,Content,Director,Stars,Movie Link
7. Casino Royale,"https://m.media-amazon.com/images/M/MV5BZmY3MDQ5NDktYzViZC00NTgwLTg1MDktMDlkNmYzYjk4NDJhXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1967,2h 11m,PG,5.0,(33K),48,"In an early spy spoof, aging Sir James Bond comes out of retirement to take on SMERSH.",Val Guest,Adam Sandler,https://www.imdb.com/title/tt0061452/?ref_=ls_t_7
8. Click,"https://m.media-amazon.com/images/M/MV5BMTA1MTUxNDY4NzReQTJeQWpwZ15BbWU2MDE3ODAxNw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2006,1h 47m,12A,6.4,(361K),45,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,Ken Hughes,Marisa Tomei,https://www.imdb.com/title/tt0389860/?ref_=ls_t_8
9. Deathtrap,"https://m.media-amazon.com/images/M/MV5BMjQ4NTE1NjUwNl5BMl5BanBnXkFtZTgwMzEzNTU1NTM@._V1_QL75_UY207_CR1,0,140,207_.jpg",1982,1h 56m,PG,7.0,(16K),54,"A struggling playwright invites a young writer to his home to discuss a script, but the meeting spirals into a deadly game of deception and betrayal.",John Huston,James L. Brooks,https://www.imdb.com/title/tt0083806/?ref_=ls_t_9
10. The Devil Wears Prada,"https://m.media-amazon.com/images/M/MV5BZjQ3ZTIzOTItMGNjNC00MWRmLWJlMGEtMjJmMDM5ZDIzZGM3XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_QL75_UY207_CR0,0,140,207_.jpg",2006,1h 49m,PG,6.9,(479K),62,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",Frank Coraci,Jack Nicholson,https://www.imdb.com/title/tt0458352/?ref_=ls_t_10
11. Diary of a Mad Black Woman,"https://m.media-amazon.com/images/M/MV5BMTIyOTA1NTg0NV5BMl5BanBnXkFtZTcwMzE2MzgyMQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2005,1h 56m,12,5.7,(16K),36,A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.,Sidney Lumet,Helen Hunt,https://www.imdb.com/title/tt0422093/?ref_=ls_t_11
12. The First Wives Club,"https://m.media-amazon.com/images/M/MV5BOTUxMDkzMTItMzAxMC00MWY5LTk1N2ItMTEzOTRmZDYzOTE4XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_QL75_UY207_CR0,0,140,207_.jpg",1996,1h 43m,PG,6.4,(55K),59,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",David Frankel,Greg Kinnear,https://www.imdb.com/title/tt0116313/?ref_=ls_t_12
13. A Fish Called Wanda,"https://m.media-amazon.com/images/M/MV5BNTQ0ODhiNjEtMDFiYi00NmZhLWJkMzQtNTBkOGQwOTliZDAxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,1,140,207_.jpg",1988,1h 48m,15,7.5,(155K),80,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool the very proper barrister Archibald Leach.",Darren Grant,Bille Woodruff,https://www.imdb.com/title/tt0095159/?ref_=ls_t_13
14. The Full Monty,"https://m.media-amazon.com/images/M/MV5BY2NjMGQzZmItMTMwYS00MDA2LWFmZmYtNjA4MTQ2ODNjYzRiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,0,140,207_.jpg",1997,1h 31m,15,7.2,(115K),75,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",Hugh Wilson,Queen Latifah,https://www.imdb.com/title/tt0119164/?ref_=ls_t_14
15. The Gods Must Be Crazy,"https://m.media-amazon.com/images/M/MV5BMmExNTIzZTQtMmUxNC00NTUwLTg1MTgtMzUxYWE5ZjdmZGRmXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",1980,1h 49m,PG,7.3,(60K),73,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",Charles Crichton,Alicia Silverstone,https://www.imdb.com/title/tt0080801/?ref_=ls_t_15
16. Guarding Tess,"https://m.media-amazon.com/images/M/MV5BNzFkM2RiNWQtOWQxNy00ZWNmLWIyZTktNmJjZmY1ZTliZjU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1994,1h 36m,12,6.2,(20K),50,"A former U.S. First Lady wants a particular Secret Service agent to head her bodyguard detail, even though he can't stand her.",John Cleese,Djimon Hounsou,https://www.imdb.com/title/tt0109951/?ref_=ls_t_16
17. Hopscotch,"https://m.media-amazon.com/images/M/MV5BNmZhNWEyNmYtOWQyNy00OTY2LTk3MDQtMjM1YWVlOGRlMWMyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,3,140,207_.jpg",1980,1h 46m,AA,7.1,(9.1K),59,"Grounded with a desk job by incompetent superiors, a clever CIA agent retires and writes a tell all memoir that will embarrass his bosses, prompting him to go on the run and elude them.",Peter Cattaneo,Mel Brooks,https://www.imdb.com/title/tt0080889/?ref_=ls_t_17
18. Legally Blonde,"https://m.media-amazon.com/images/M/MV5BNTEyNjUwMTkxMV5BMl5BanBnXkFtZTcwNjk0NDk0NA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",2001,1h 36m,12,6.5,(253K),80,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",Jamie Uys,Cleavon Little,https://www.imdb.com/title/tt0250494/?ref_=ls_t_18
19. Little Miss Sunshine,"https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_QL75_UY207_CR0,0,140,207_.jpg",2006,1h 41m,15,7.8,(523K),91,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,Hugh Wilson,Gene Wilder,https://www.imdb.com/title/tt0449059/?ref_=ls_t_19
20. Monty Python and the Holy Grail,"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,1,140,207_.jpg",1975,1h 31m,12A,8.2,(575K),68,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Ronald Neame,Slim Pickens,https://www.imdb.com/title/tt0071853/?ref_=ls_t_20
21. My Cousin Vinny,"https://m.media-amazon.com/images/M/MV5BMTQxNDYzMTg1M15BMl5BanBnXkFtZTgwNzk4MDgxMTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",1992,2h,15,7.6,(143K),26,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",Robert Luketic,Harold Ramis,https://www.imdb.com/title/tt0104952/?ref_=ls_t_21
22. A Night at the Opera,"https://m.media-amazon.com/images/M/MV5BMTYyNjgwMDg4NF5BMl5BanBnXkFtZTgwNTQ5MTM4MTE@._V1_QL75_UY207_CR1,0,140,207_.jpg",1935,1h 36m,U,7.8,(35K),69,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.,Jonathan Dayton,Chevy Chase,https://www.imdb.com/title/tt0026778/?ref_=ls_t_22
23. Patch Adams,"https://m.media-amazon.com/images/M/MV5BNzM4Y2FlNzYtZmY5Yy00NzU4LTk1ODItY2NjYWYzYzUyZGM3L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,1,140,207_.jpg",1998,1h 55m,12,6.8,(123K),98,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",Valerie Faris,Rodney Dangerfield,https://www.imdb.com/title/tt0129290/?ref_=ls_t_23
